id,available_rooms,listing_id,price,room_type,total_rooms
...,15,...,3650.00,DOUBLE,15
...,5,...,7150.00,SUITE,5
...,20,...,4000.00,SINGLE,20
...,15,...,5500.00,DOUBLE,15
...,5,...,9000.00,SUITE,5
...,20,...,3200.00,SINGLE,20
...,15,...,4700.00,DOUBLE,15
...,5,...,8200.00,SUITE,5
...,20,...,5000.00,SINGLE,20
...,15,...,6500.00,DOUBLE,15
...,5,...,10000.00,SUITE,5
...,20,...,2750.00,SINGLE,20
...,15,...,4250.00,DOUBLE,15
...,5,...,7750.00,SUITE,5
...,20,...,2350.00,SINGLE,20
...,15,...,3850.00,DOUBLE,15
...,5,...,7350.00,SUITE,5
...,20,...,6500.00,SINGLE,20
...,15,...,8000.00,DOUBLE,15
...,5,...,11500.00,SUITE,5
...,1,...,2388.00,SINGLE,1
...,2,...,2438.00,DOUBLE,2
...,1,...,2950.00,DOUBLE,1
...,1,...,4375.00,SINGLE,1
...,1,...,3100.00,DOUBLE,1
...,20,...,2000.00,SINGLE,20
...,15,...,3500.00,DOUBLE,15
...,5,...,7000.00,SUITE,5
...,20,...,2145.00,SINGLE,20
...,15,...,3645.00,DOUBLE,15
...,5,...,7145.00,SUITE,5
...,20,...,2700.00,SINGLE,20
...,15,...,4200.00,DOUBLE,15
...,5,...,7700.00,SUITE,5
...,20,...,5140.00,SINGLE,20
...,15,...,6640.00,DOUBLE,15
...,5,...,10140.00,SUITE,5
...,20,...,2000.00,SINGLE,20
...,15,...,3500.00,DOUBLE,15
...,5,...,7000.00,SUITE,5
...,20,...,2000.00,SINGLE,20
...,15,...,3500.00,DOUBLE,15
...,5,...,7000.00,SUITE,5
...,20,...,2300.00,SINGLE,20
...,15,...,3800.00,DOUBLE,15
...,5,...,7300.00,SUITE,5
...,20,...,2500.00,SINGLE,20
...,15,...,4000.00,DOUBLE,15
...,5,...,7500.00,SUITE,5
...,20,...,4750.00,SINGLE,20
...,15,...,6250.00,DOUBLE,15
...,5,...,9750.00,SUITE,5
...,20,...,7000.00,SINGLE,20
...,15,...,8500.00,DOUBLE,15
...,5,...,12000.00,SUITE,5
...,20,...,3200.00,SINGLE,20
...,15,...,4700.00,DOUBLE,15
...,5,...,8200.00,SUITE,5
...,1,...,2400.00,DOUBLE,1
...,1,...,3950.00,SINGLE,1
...,2,...,4000.00,DOUBLE,2
...,1,...,2800.00,DOUBLE,1
...,20,...,2500.00,SINGLE,20
...,15,...,4000.00,DOUBLE,15
...,5,...,7500.00,SUITE,5
...,20,...,2220.00,SINGLE,20
...,15,...,3720.00,DOUBLE,15
...,5,...,7220.00,SUITE,5
...,20,...,2500.00,SINGLE,20
...,15,...,4000.00,DOUBLE,15
...,5,...,7500.00,SUITE,5
...,20,...,5217.00,SINGLE,20
...,15,...,6717.00,DOUBLE,15
...,5,...,10217.00,SUITE,5
...,20,...,6750.00,SINGLE,20
...,15,...,8250.00,DOUBLE,15
...,5,...,11750.00,SUITE,5
...,20,...,2565.00,SINGLE,20
...,15,...,4065.00,DOUBLE,15
...,5,...,7565.00,SUITE,5
...,20,...,8957.00,SINGLE,20
...,15,...,10457.00,DOUBLE,15
...,5,...,13957.00,SUITE,5
...,20,...,2650.00,SINGLE,20
...,15,...,4150.00,DOUBLE,15
...,5,...,7650.00,SUITE,5
...,0,...,4333.00,SINGLE,2
...,2,...,2811.00,SINGLE,2
...,20,...,2550.00,SINGLE,20
...,15,...,4050.00,DOUBLE,15
...,5,...,7550.00,SUITE,5
...,20,...,2000.00,SINGLE,20
...,15,...,3500.00,DOUBLE,15
...,5,...,7000.00,SUITE,5
...,20,...,2200.00,SINGLE,20
...,15,...,3700.00,DOUBLE,15
...,5,...,7200.00,SUITE,5
...,20,...,6000.00,SINGLE,20
...,15,...,7500.00,DOUBLE,15
...,5,...,11000.00,SUITE,5
...,20,...,4980.00,SINGLE,20
...,15,...,6480.00,DOUBLE,15
...,5,...,9980.00,SUITE,5
...,3,...,3659.00,DOUBLE,3
...,20,...,2000.00,SINGLE,20
...,15,...,3500.00,DOUBLE,15
...,5,...,7000.00,SUITE,5
...,20,...,2800.00,SINGLE,20
...,15,...,4300.00,DOUBLE,15
...,5,...,7800.00,SUITE,5
...,20,...,2450.00,SINGLE,20
...,15,...,3950.00,DOUBLE,15
...,5,...,7450.00,SUITE,5
...,20,...,2000.00,SINGLE,20
...,15,...,3500.00,DOUBLE,15
...,5,...,7000.00,SUITE,5
...,20,...,3000.00,SINGLE,20
...,15,...,4500.00,DOUBLE,15
...,5,...,8000.00,SUITE,5
...,20,...,3300.00,SINGLE,20
...,15,...,4800.00,DOUBLE,15
...,5,...,8300.00,SUITE,5
...,20,...,6520.00,SINGLE,20
...,15,...,8020.00,DOUBLE,15
...,5,...,11520.00,SUITE,5
...,2,...,10547.00,SINGLE,2
...,20,...,2800.00,SINGLE,20
...,15,...,4300.00,DOUBLE,15
...,5,...,7800.00,SUITE,5
...,20,...,2700.00,SINGLE,20
...,15,...,4200.00,DOUBLE,15
...,5,...,7700.00,SUITE,5
...,20,...,4840.00,SINGLE,20
...,15,...,6340.00,DOUBLE,15
...,5,...,9840.00,SUITE,5
...,20,...,3100.00,SINGLE,20
...,15,...,4600.00,DOUBLE,15
...,5,...,8100.00,SUITE,5
...,20,...,4779.00,SINGLE,20
...,15,...,6279.00,DOUBLE,15
...,5,...,9779.00,SUITE,5
...,20,...,3800.00,SINGLE,20
...,15,...,5300.00,DOUBLE,15
...,5,...,8800.00,SUITE,5
...,20,...,5392.00,SINGLE,20
...,15,...,6892.00,DOUBLE,15
...,5,...,10392.00,SUITE,5
...,20,...,10000.00,SINGLE,20
...,15,...,11500.00,DOUBLE,15
...,5,...,15000.00,SUITE,5
...,1,...,4824.00,SINGLE,1
...,20,...,2750.00,SINGLE,20
...,15,...,4250.00,DOUBLE,15
...,5,...,7750.00,SUITE,5
...,20,...,3301.00,SINGLE,20
...,15,...,4801.00,DOUBLE,15
...,5,...,8301.00,SUITE,5
...,20,...,8234.00,SINGLE,20
...,15,...,9734.00,DOUBLE,15
...,5,...,13234.00,SUITE,5
...,20,...,3280.00,SINGLE,20
...,15,...,4780.00,DOUBLE,15
...,5,...,8280.00,SUITE,5
...,20,...,2000.00,SINGLE,20
...,15,...,3500.00,DOUBLE,15
...,5,...,7000.00,SUITE,5
...,20,...,2300.00,SINGLE,20
...,15,...,3800.00,DOUBLE,15
...,5,...,7300.00,SUITE,5
...,20,...,2190.00,SINGLE,20
...,15,...,3690.00,DOUBLE,15
...,5,...,7190.00,SUITE,5
...,20,...,3600.00,SINGLE,20
...,15,...,5100.00,DOUBLE,15
...,5,...,8600.00,SUITE,5
...,1,...,3550.00,SINGLE,1
...,1,...,3600.00,DOUBLE,1
...,2,...,3750.00,SINGLE,2
...,20,...,2600.00,SINGLE,20
...,15,...,4100.00,DOUBLE,15
...,5,...,7600.00,SUITE,5
...,1,...,3745.00,SINGLE,1
...,2,...,3795.00,DOUBLE,2
...,20,...,2200.00,SINGLE,20
...,15,...,3700.00,DOUBLE,15
...,5,...,7200.00,SUITE,5
...,20,...,2050.00,SINGLE,20
...,15,...,3550.00,DOUBLE,15
...,5,...,7050.00,SUITE,5
...,20,...,3500.00,SINGLE,20
...,15,...,5000.00,DOUBLE,15
...,5,...,8500.00,SUITE,5
...,20,...,2500.00,SINGLE,20
...,15,...,4000.00,DOUBLE,15
...,5,...,7500.00,SUITE,5
...,20,...,3500.00,SINGLE,20
...,15,...,5000.00,DOUBLE,15
...,5,...,8500.00,SUITE,5
...,20,...,4500.00,SINGLE,20
...,15,...,6000.00,DOUBLE,15
...,5,...,9500.00,SUITE,5
...,20,...,4500.00,SINGLE,20
...,15,...,6000.00,DOUBLE,15
...,5,...,9500.00,SUITE,5
...,2,...,9941.00,SINGLE,2
...,20,...,2100.00,SINGLE,20
...,15,...,3600.00,DOUBLE,15
...,5,...,7100.00,SUITE,5
...,20,...,2500.00,SINGLE,20
...,15,...,4000.00,DOUBLE,15
...,5,...,7500.00,SUITE,5
...,20,...,3700.00,SINGLE,20
...,15,...,5200.00,DOUBLE,15
...,5,...,8700.00,SUITE,5
...,20,...,6500.00,SINGLE,20
...,15,...,8000.00,DOUBLE,15
...,5,...,11500.00,SUITE,5
...,20,...,6500.00,SINGLE,20
...,15,...,8000.00,DOUBLE,15
...,5,...,11500.00,SUITE,5
...,20,...,12500.00,SINGLE,20
...,15,...,14000.00,DOUBLE,15
...,5,...,17500.00,SUITE,5
